page,Country,Genre,Released,imdbRating,Runtime,Language,Type,imdbVotes
AdamAdamantLives,UK,"Adventure, Sci-Fi",03 Jun 1966,6.8,50 min,English,series,116
Smallville,"USA, Canada","Adventure, Drama, Romance",16 Oct 2001,7.5,60 min,English,series,"89,719"
TooCloseForComfort,USA,Comedy,11 Nov 1980,6.5,30 min,English,series,996
JonathanCreek,UK,"Crime, Drama, Mystery",10 May 1997,8.2,120 min,English,series,"4,525"
TheManyLovesOfDobieGillis,USA,"Comedy, Family",29 Sep 1959,7.9,30 min,English,series,883
Noob,France,Comedy,07 Nov 2008,7.6,6 min,French,series,59
WelcomeBackKotter,USA,Comedy,09 Sep 1975,7.2,30 min,English,series,"2,921"
Brimstone,USA,"Fantasy, Horror, Mystery",23 Oct 1998,8.2,60 min,English,series,"1,252"
TheNakedTruth,USA,Comedy,13 Sep 1995,7.1,30 min,English,series,525
YoungHercules,USA,"Action, Family, Fantasy",12 Sep 1998,5.7,30 min,English,series,954
LosUnicos,Argentina,"Action, Comedy, Romance",07 Feb 2011,6.2,60 min,Spanish,series,57
MurdochMysteries,"Canada, UK","Crime, Drama, Mystery",06 Jun 2009,8.0,48 min,English,series,"4,516"
Porridge,UK,Comedy,05 Sep 1974,8.3,45 min,English,series,"3,148"
AlfredHitchcockPresents,USA,"Crime, Drama, Mystery",02 Oct 1955,8.7,25 min,English,series,"6,788"
Combat,UK,"Short, Comedy, Drama",N/A,5.2,8 min,English,movie,149
HarryHillsTVBurp,N/A,Comedy,30 Dec 2006,N/A,23 min,N/A,episode,N/A
TheDresdenFiles,"Canada, USA","Action, Crime, Drama",21 Jan 2007,7.8,60 min,English,series,"7,055"
MasterChef,Israel,Reality-TV,14 Oct 2010,7.7,N/A,Hebrew,series,106
Parenthood,USA,"Comedy, Drama",02 Aug 1989,7.0,124 min,English,movie,"33,843"
ImACelebrityGetMeOutOfHere,UK,"Adventure, Comedy, Reality-TV",25 Aug 2002,5.6,60 min,English,series,"1,219"
WhoseLineIsItAnyway,"USA, UK","Comedy, Game-Show",05 Aug 1998,8.7,30 min,English,series,"25,661"
ScarecrowAndMrsKing,USA,Adventure,03 Oct 1983,7.2,60 min,English,series,"1,241"
PitBoss,USA,Reality-TV,16 Jan 2010,6.4,N/A,English,series,357
BattlestarGalacticaReimagined,USA,"Action, Adventure, Drama",14 Jan 2005,8.8,44 min,English,series,"109,885"
AroundTheHorn,USA,"Sport, Talk-Show",28 Oct 2002,7.7,30 min,English,series,616
JohnAdams,USA,"Biography, Drama, History",16 Mar 2008,8.7,501 min,English,series,"16,574"
HeartsAfire,USA,"Comedy, Romance",14 Sep 1992,7.2,30 min,English,series,177
Room101,USA,Thriller,29 Mar 2002,6.8,112 min,English,movie,"191,438"
TwentyFour,UK,"Comedy, Drama, Romance",01 May 1998,7.1,96 min,English,movie,"1,987"
BronBroen,Sweden,Documentary,25 Apr 2014,N/A,56 min,Swedish,movie,N/A
TheCrossWits,USA,Game-Show,15 Dec 1975,8.4,30 min,English,series,5
ArthurOfTheBritons,UK,Adventure,06 Dec 1972,8.4,30 min,English,series,91
Titus,"Italy, USA, UK","Drama, History, Thriller",11 Feb 2000,7.3,162 min,"English, Latin",movie,"16,637"
Blade,USA,"Action, Horror",21 Aug 1998,7.1,120 min,"English, Russian",movie,"174,609"
ThreesCompany,N/A,Reality-TV,06 Aug 2012,N/A,N/A,N/A,episode,N/A
NightVisions,"Canada, USA","Fantasy, Horror, Mystery",12 Jul 2001,7.6,43 min,English,series,489
GimmeGimmeGimme,UK,Comedy,08 Jan 1999,7.5,34 min,English,series,"1,219"
HiDeHi,UK,Comedy,01 Jan 1980,6.8,60 min,English,series,496
OpenAllHours,UK,Comedy,20 Feb 1976,7.7,30 min,English,series,"2,669"
DontTrustTheBInApartment23,USA,Comedy,11 Apr 2012,7.2,22 min,English,series,"22,254"
TheComicStripPresents,UK,Comedy,02 Nov 1982,8.1,N/A,English,series,675
DangerMan,UK,"Action, Adventure, Crime",11 Sep 1960,8.1,24 min,English,series,488
XenaWarriorPrincess,USA,"Documentary, Short",08 Mar 2005,8.9,31 min,English,movie,59
Trollied,UK,Comedy,04 Aug 2011,7.4,26 min,English,series,"1,218"
NewsRadio,USA,Talk-Show,01 Oct 2009,N/A,N/A,English,series,N/A
VidasRobadas,Argentina,"Drama, Mystery, Romance",03 Mar 2008,7.9,60 min,Spanish,series,70
LessThanPerfect,USA,Comedy,01 Oct 2002,7.1,30 min,English,series,"2,391"
ModernFamily,USA,Comedy,23 Sep 2009,8.6,22 min,English,series,"208,346"
SamanthaWho,USA,"Comedy, Mystery, Romance",15 Oct 2007,7.4,22 min,English,series,"8,243"
TodaysSpecial,USA,Comedy,11 Nov 2009,6.9,99 min,English,movie,"1,661"
FindersKeepers,USA,Thriller,18 Oct 2014,4.4,N/A,English,movie,"1,191"
Chase,USA,"Action, Crime, Drama",20 Sep 2010,7.0,60 min,English,series,"2,737"
Merlin,UK,"Adventure, Drama, Fantasy",21 Jun 2009,7.9,45 min,English,series,"51,711"
PhoenixNights,UK,Comedy,14 Jan 2001,8.4,25 min,English,series,"3,300"
TalesFromTheDarkside,USA,"Fantasy, Horror, Thriller",30 Sep 1984,7.7,30 min,English,series,"3,018"
Rev,"Spain, South Korea, Vietnam","Short, Drama, Mystery",N/A,N/A,21 min,Spanish,movie,N/A
TheFreshPrinceOfBelAir,USA,Comedy,10 Sep 1990,8.0,22 min,English,series,"81,396"
AntiquesRoadShow,USA,N/A,09 Jan 1997,7.4,N/A,English,series,624
AnimalPlanetHeroes,USA,Documentary,24 Nov 2005,8.2,N/A,English,movie,6
ItsMeOrTheDog,N/A,Reality-TV,N/A,6.9,N/A,N/A,series,37
GoodnightSweetheart,UK,"Comedy, Drama, Fantasy",18 Nov 1993,7.7,30 min,English,series,"1,209"
Reno911,USA,Drama,01 Dec 1939,5.9,73 min,English,movie,61
HimAndHer,South Korea,"Short, Drama",01 Apr 2013,N/A,8 min,Korean,movie,N/A
FridayNightDinner,UK,Comedy,25 Feb 2011,8.0,24 min,English,series,"4,037"
LifeWithDerek,Canada,"Comedy, Drama, Family",18 Sep 2005,7.6,22 min,"English, French, Spanish",series,"3,809"
NoHeroics,UK,Comedy,18 Sep 2008,7.7,N/A,English,series,569
TheStoryteller,UK,Fantasy,28 Apr 1989,8.9,225 min,English,series,"2,703"
BlackAndWhiteTW,"Australia, UK",Drama,31 Oct 2002,6.7,99 min,English,movie,606
JimRomeIsBurning,USA,"Sport, Talk-Show",06 May 2003,5.5,N/A,English,series,245
ItTakesAThief,USA,"Adventure, Crime, Drama",09 Jan 1968,7.9,51 min,English,series,987
Boomtown,USA,"Crime, Drama, Mystery",29 Sep 2002,8.1,45 min,English,series,"1,619"
Tucker,USA,Comedy,02 Oct 2000,7.4,30 min,English,series,265
TheSecretsOfIsis,USA,Thriller,N/A,N/A,N/A,English,movie,N/A
ThatGirl,USA,Comedy,N/A,7.2,30 min,English,series,"1,124"
TheThinBlueLine,USA,"Documentary, Crime, Mystery",25 Aug 1988,8.1,103 min,English,movie,"13,118"
Raumpatrouille,West Germany,"Adventure, Sci-Fi",17 Sep 1966,8.3,60 min,German,series,578
LambChopsPlayAlong,"Canada, USA",Family,10 Sep 1992,7.8,30 min,English,series,667
Duel,USA,Thriller,13 Nov 1971,7.7,90 min,English,movie,"42,713"
RutlandWeekendTelevision,UK,"Comedy, Music",12 May 1975,8.2,30 min,English,series,69
UnhappilyEverAfter,USA,Comedy,11 Jan 1995,6.9,30 min,English,series,"1,988"
OnceUponATime,USA,"Adventure, Fantasy, Romance",23 Oct 2011,8.0,44 min,English,series,"148,770"
TheClass,France,Drama,13 Mar 2009,7.5,128 min,"French, Bambara, Spanish",movie,"27,681"
Profiler,USA,"Crime, Drama, Thriller",21 Sep 1996,7.3,60 min,English,series,"2,299"
MadMen,USA,Drama,19 Jul 2007,8.7,47 min,English,series,"126,612"
Merlin-1998,UK,"Adventure, Drama, Fantasy",21 Jun 2009,7.9,45 min,English,series,"51,711"
YouAreBeautiful,South Korea,"Comedy, Drama, Music",07 Oct 2009,8.1,N/A,Korean,series,"1,043"
MyWifeAndKids,USA,Comedy,28 Mar 2001,6.8,30 min,English,series,"18,954"
TheDrewCareyShow,USA,"Comedy, Drama",13 Sep 1995,6.9,30 min,English,series,"11,690"
LoveKeepsGoing,Taiwan,Drama,05 Jun 2011,6.9,N/A,Mandarin,series,13
TheChronicle,USA,"Comedy, Horror, Sci-Fi",14 Jul 2001,6.7,48 min,English,series,270
SirArthurConanDoylesTheLostWorld,"Australia, Canada, New Zealand","Action, Sci-Fi, Adventure",02 Oct 1999,7.3,60 min,English,series,"2,209"
Downfall,"Germany, Austria, Italy","Biography, Drama, War",08 Apr 2005,8.3,156 min,"German, Russian, Hungarian",movie,"225,919"
Absolutely,UK,Comedy,23 May 1989,8.6,30 min,English,series,152
NightCourt,USA,Comedy,04 Jan 1984,7.7,30 min,English,series,"5,866"
TheGames,UK,"Drama, Sport",01 Aug 1970,6.2,100 min,English,movie,271
FireballXL5,UK,"Family, Sci-Fi",05 Oct 1963,7.5,30 min,English,series,249
ThePrisoner,UK,"Drama, Mystery, Sci-Fi",01 Jun 1968,8.7,50 min,"English, Russian, German, Romany, Spanish, French, Polish",series,"7,593"
SherlockHolmes,"USA, Germany","Action, Adventure, Crime",25 Dec 2009,7.6,128 min,"English, French",movie,"431,839"
WhatsMyLine,USA,"Comedy, Family, Game-Show",02 Feb 1950,8.6,30 min,English,series,788
RippingYarns,UK,"Adventure, Comedy",07 Jan 1976,8.1,30 min,English,series,729
CountdownWithKeithOlbermann,USA,"News, Talk-Show",N/A,6.8,60 min,English,series,755
TheMagnificentSeven,USA,"Action, Adventure, Western",23 Oct 1960,7.8,128 min,"English, Spanish",movie,"59,470"
TheInbetweeners,UK,Comedy,25 Jan 2010,8.5,25 min,English,series,"48,317"
ArrestedDevelopment,USA,Comedy,02 Nov 2003,9.1,22 min,English,series,"191,302"
SabrinaTheTeenageWitch,"USA, Canada","Comedy, Family, Fantasy",07 Apr 1996,6.2,91 min,English,movie,"4,268"
Blossom,USA,"Comedy, Drama",03 Jan 1991,5.9,30 min,English,series,"4,494"
OutOfJimmysHead,USA,"Animation, Comedy, Family",30 Sep 2007,2.4,30 min,English,series,424
TheVoice,USA,"Game-Show, Music, Reality-TV",26 Apr 2011,6.6,60 min,English,series,"8,505"
PrivateSchulz,UK,Comedy,06 May 1981,7.7,300 min,English,series,298
TrueJacksonVP,USA,Comedy,08 Nov 2008,5.6,N/A,English,series,"2,018"
AgainstTheWall,USA,"Action, Drama, Thriller",26 Mar 1994,6.7,111 min,English,movie,"1,683"
TorchwoodChildrenOfEarth,"UK, Canada","Action, Drama, Sci-Fi",22 Oct 2006,7.8,50 min,English,series,"31,997"
LaQueSeAvecina,Spain,Comedy,22 Apr 2007,7.3,75 min,Spanish,series,"1,388"
MeerkatManor,UK,Documentary,N/A,8.3,26 min,English,series,860
DearJohn,USA,"Drama, Romance, War",05 Feb 2010,6.3,108 min,English,movie,"91,372"
TheAvengers,USA,"Action, Adventure, Sci-Fi",04 May 2012,8.1,143 min,"English, Russian",movie,"877,226"
Neverland,UK,"Adventure, Fantasy",04 Dec 2011,6.5,180 min,English,series,"7,988"
ZOOM,USA,Drama,28 Aug 2015,5.7,120 min,English,movie,"2,536"
AbsolutelyFabulous,UK,Comedy,24 Jul 1994,8.1,45 min,"English, French",series,"12,585"
MyPlace,Australia,"Drama, Family",N/A,7.3,30 min,English,series,51
BigWaveDaves,USA,Comedy,09 Aug 1993,6.7,30 min,English,series,14
BigTimeRush,USA,"Comedy, Musical",28 Nov 2009,6.1,25 min,English,series,"6,113"
RussellHowardsGoodNews,UK,Comedy,22 Oct 2009,7.8,N/A,English,series,"1,300"
Wilfred,USA,Comedy,23 Jun 2011,7.9,30 min,English,series,"33,955"
MyPhoneGenie,"Ireland, Germany, UK",Comedy,01 Jan 2012,6.6,N/A,English,series,25
ColgateComedyHour,USA,"Comedy, Romance",10 Sep 1950,7.4,60 min,English,series,350
TheHoneymooners,"USA, Germany","Comedy, Drama, Family",10 Jun 2005,3.0,90 min,English,movie,"6,376"
MissionImpossible,USA,"Short, Action",27 Jul 2009,N/A,N/A,N/A,movie,N/A
SixteenAndPregnant,USA,Drama,19 Jan 1998,5.7,96 min,English,movie,"1,711"
DreamHigh2,South Korea,"Comedy, Music, Romance",31 Jul 2011,7.9,N/A,Korean,series,717
FifteenLove,USA,Reality-TV,01 Mar 2009,N/A,30 min,English,movie,N/A
Cybill,USA,Comedy,02 Jan 1995,6.8,30 min,English,series,"2,138"
WhoDoYouThinkYouAre,UK,"Animation, Comedy",24 Dec 2004,7.7,24 min,English,movie,10
LeadBalloon,UK,Comedy,04 Oct 2006,7.9,N/A,English,series,992
SosMiVida,Argentina,"Comedy, Romance, Sport",29 Apr 2009,6.9,60 min,Spanish,series,491
TheFirm,USA,"Drama, Mystery, Thriller",30 Jun 1993,6.8,154 min,English,movie,"82,531"
DeadGorgeous,UK,"Comedy, Crime, Drama",21 Oct 2002,7.1,120 min,English,movie,173
PrettyLittleLiars,USA,"Drama, Mystery, Thriller",08 Jun 2010,7.9,60 min,English,series,"100,852"
Woof,USA,Short,19 Jun 2004,5.6,6 min,English,movie,14
ALF,USA,"Comedy, Drama, Family",22 Sep 1986,7.4,30 min,English,series,"21,289"
SanfordAndSon,USA,Comedy,14 Jan 1972,7.9,30 min,English,series,"4,511"
SportsNight,USA,"Comedy, Drama, Sport",22 Sep 1998,8.5,30 min,English,series,"5,227"
HannahMontana,USA,"Comedy, Family, Music",24 Mar 2006,4.6,23 min,English,series,"26,885"
TheGoodies,UK,Comedy,08 Nov 1970,7.9,30 min,English,series,720
ImAlanPartridge,UK,Comedy,03 Nov 1997,8.6,29 min,"English, German, French",series,"10,406"
AllCreaturesGreatAndSmall,UK,"Comedy, Drama",08 Jan 1978,8.4,50 min,English,series,"1,388"
TheThickOfIt,UK,Comedy,19 May 2005,8.8,29 min,English,series,"10,219"
LittleMosqueOnThePrairie,Canada,Comedy,09 Jan 2007,6.1,22 min,English,series,"1,970"
Alcatraz,"USA, Canada","Action, Crime, Drama",16 Jan 2012,7.1,60 min,English,series,"34,050"
TheITCrowd,UK,Comedy,03 Feb 2006,8.6,25 min,English,series,"78,895"
StarTrekTheOriginalSeries,USA,"Action, Adventure, Mystery",08 Sep 1966,8.4,50 min,English,series,"42,634"
TheCosbyShow,USA,"Comedy, Family, Romance",20 Sep 1984,7.5,30 min,English,series,"23,255"
PetticoatJunction,USA,Comedy,24 Sep 1963,7.1,30 min,English,series,"1,266"
RedDwarf,UK,"Comedy, Sci-Fi",29 Mar 1989,8.5,30 min,"English, Esperanto",series,"20,676"
Wheaton,USA,"Comedy, Talk-Show",27 May 2014,6.4,N/A,English,series,532
TheRedGreenShow,Canada,Comedy,04 Jan 1991,7.9,25 min,English,series,"1,540"
DeathValley,USA,"Comedy, Horror",29 Aug 2011,7.9,N/A,English,series,"4,223"
QueenOfSwords,"Spain, France, UK, Canada, USA","Action, Adventure, Western",02 Oct 2000,6.9,30 min,English,series,282
FawltyTowers,UK,Comedy,19 Sep 1975,8.9,30 min,"English, Spanish",series,"47,798"
WhatsHappening,USA,Comedy,05 Aug 1976,7.0,30 min,English,series,"1,529"
DoctorWho,"UK, Canada","Adventure, Drama, Family",17 Mar 2006,8.9,45 min,English,series,"128,902"
GreenAcres,USA,"Comedy, Family",15 Sep 1965,7.4,30 min,English,series,"3,123"
FullHouse,USA,"Comedy, Drama, Family",22 Sep 1987,6.6,30 min,English,series,"35,883"
Lawman,USA,Western,04 Aug 1971,7.0,99 min,English,movie,"2,438"
PersonOfInterest,USA,"Action, Drama, Mystery",22 Sep 2011,8.5,43 min,English,series,"101,139"
JurassicFightClub,USA,"Documentary, History",29 Jul 2008,7.0,N/A,English,series,301
WillAndGrace,USA,Comedy,21 Sep 1998,7.2,22 min,English,series,"33,813"
Beastmaster,"Australia, Canada, USA","Action, Adventure, Fantasy",09 Oct 1999,6.3,43 min,English,series,"1,267"
TheOuterLimits,"Canada, USA","Drama, Fantasy, Horror",26 Mar 1995,7.8,44 min,English,series,"7,917"
PerfectStrangers,USA,"Comedy, Family",25 Mar 1986,7.2,30 min,English,series,"5,516"
TheGoodGuys,USA,"Action, Comedy",19 May 2010,8.1,60 min,English,series,"6,057"
TheBernieMacShow,USA,"Comedy, Drama, Family",07 Nov 2001,6.9,30 min,English,series,"5,132"
Miranda,UK,Comedy,09 Nov 2009,8.0,30 min,English,series,"7,613"
GoldRush,USA,Game-Show,19 Sep 2006,7.2,N/A,English,series,18
PrisonBreak,USA,"Action, Crime, Drama",29 Aug 2005,8.5,44 min,"English, Spanish",series,"278,467"
WhatWouldYouDo,USA,"Short, Comedy",21 Feb 1911,N/A,N/A,English,movie,N/A
Friends,USA,"Comedy, Romance",22 Sep 1994,9.0,22 min,English,series,"402,911"
BeautifulPeople,South Africa,"Comedy, Documentary",01 Nov 1974,8.3,92 min,English,movie,"2,751"
MrBrain,Japan,Drama,23 May 2009,7.5,58 min,Japanese,series,286
TheDickVanDykeShow,USA,"Comedy, Family",03 Oct 1961,8.5,30 min,English,series,"4,774"
TheJimHensonHour,USA,"Comedy, Family, Fantasy",14 Apr 1989,8.6,48 min,English,series,218
Wallander,"UK, Sweden, USA, Germany","Crime, Thriller",10 May 2009,7.9,90 min,English,series,"6,445"
MisterRogersNeighborhood,USA,"Family, Fantasy, Music",19 Feb 1968,8.5,30 min,English,series,"2,296"
WMACMasters,USA,Sport,N/A,7.8,N/A,English,series,186
CurbYourEnthusiasm,USA,Comedy,15 Oct 2000,8.7,28 min,English,series,"58,857"
MadDogs,UK,"Comedy, Crime, Drama",10 Feb 2011,7.6,N/A,English,series,"3,496"
AmericasMostWanted,N/A,"Documentary, Crime, Drama",09 Sep 2004,N/A,57 min,N/A,episode,N/A
Roseanne,USA,"Comedy, Drama",18 Oct 1988,7.0,22 min,English,series,"25,563"
TheThreeStooges,USA,Comedy,13 Apr 2012,5.1,92 min,English,movie,"24,382"
TalesFromTheCrypt,USA,"Comedy, Crime, Horror",10 Jun 1989,8.0,25 min,English,series,"13,687"
TheWildWildWest,USA,"Action, Adventure, Sci-Fi",17 Sep 1965,8.2,50 min,English,series,"2,403"
TheJokersWild,USA,"Family, Game-Show",04 Sep 1972,7.0,30 min,English,series,84
Joey,USA,"Comedy, Romance",09 Sep 2004,6.0,30 min,English,series,"34,876"
Casanova,USA,"Adventure, Comedy, Drama",06 Jan 2006,6.5,112 min,English,movie,"41,831"
SCTV,"Canada, USA",Comedy,01 Sep 1977,8.6,30 min,English,series,"1,147"
CombatHospital,"Canada, UK","Drama, War",N/A,7.4,42 min,English,series,"1,764"
Community,USA,Comedy,17 Sep 2009,8.6,22 min,English,series,"130,282"
PeopleLikeUs,USA,Drama,29 Jun 2012,7.1,114 min,English,movie,"32,433"
WithoutATrace,USA,"Crime, Drama, Mystery",26 Sep 2002,6.9,60 min,English,series,"13,688"
Pizza,India,"Horror, Romance, Thriller",19 Oct 2012,8.1,127 min,Tamil,movie,"2,373"
CharliesAngels,"USA, Germany","Action, Adventure, Comedy",03 Nov 2000,5.5,98 min,"English, German, Finnish, Japanese, Cantonese",movie,"136,579"
CasadosConHijos,Argentina,Comedy,12 Apr 2005,8.0,30 min,Spanish,series,581
Godivas,Canada,"Comedy, Drama",16 Mar 2005,7.7,60 min,English,series,81
LetThemEatCake,UK,"Comedy, History",09 Sep 1999,8.2,30 min,English,series,456
RulesOfEngagement,"UK, Germany, Canada, USA","Action, Drama, War",07 Apr 2000,6.4,128 min,"English, Arabic",movie,"35,946"
Grimm,USA,"Drama, Fantasy, Horror",N/A,7.8,45 min,English,series,"71,444"
Scrubs,USA,"Comedy, Drama",02 Oct 2001,8.5,22 min,"English, German, Spanish, American Sign Language",series,"173,804"
Bottom,UK,"Comedy, Crime",23 Apr 1998,8.2,30 min,English,series,"8,265"
Jeopardy,USA,"Crime, Drama, Film-Noir",15 Jun 1953,6.8,69 min,"English, Spanish",movie,"1,083"
SonsOfGuns,USA,Reality-TV,12 Jan 2011,6.2,60 min,English,series,"1,420"
InspectorGeorgeGently,UK,"Crime, Drama, Mystery",08 Apr 2007,7.9,89 min,English,series,"2,709"
TheMiddle,USA,Comedy,30 Sep 2009,7.4,30 min,English,series,"28,423"
GhostHunters,USA,Documentary,06 Oct 2004,6.6,60 min,English,series,"5,278"
DevilBesideYou,Taiwan,"Comedy, Romance",25 Jun 2005,8.1,90 min,Mandarin,series,162
Flashpoint,Canada,"Action, Crime, Drama",11 Jul 2008,7.7,41 min,English,series,"13,530"
AuctionHunters,USA,Reality-TV,09 Nov 2010,6.1,30 min,English,series,"2,387"
