page,Country,Genre,Released,imdbRating,Runtime,Language,Type,imdbVotes
VoyageToTheBottomOfTheSea,USA,"Action, Adventure, Sci-Fi",12 Jul 1961,6.1,105 min,"English, French",movie,"3,833"
StillStanding,USA,"Comedy, Romance",30 Sep 2002,7.6,30 min,English,series,"5,781"
Maverick,USA,"Action, Adventure, Comedy",20 May 1994,7.0,127 min,English,movie,"76,472"
TheRottenTomatoesShow,USA,Comedy,05 Mar 2009,7.9,30 min,English,series,184
Frasier,USA,Comedy,16 Sep 1993,8.0,30 min,English,series,"51,399"
TheWanderer,France,"Drama, Romance",09 Apr 1969,6.8,103 min,French,movie,196
Jackpot,Norway,"Action, Comedy, Crime",27 Jun 2014,6.6,90 min,"Norwegian, Swedish",movie,"2,159"
BloodTies,"France, USA","Crime, Drama, Thriller",30 Oct 2013,6.5,127 min,"English, Italian, Spanish",movie,"12,368"
Baywatch,USA,"Action, Drama",22 Sep 1989,5.0,60 min,English,series,"17,085"
BodyLanguage,Netherlands,"Drama, Music",06 Oct 2011,4.2,N/A,"Dutch, English",movie,576
TheRoyleFamily,UK,Comedy,14 Sep 1998,8.0,45 min,English,series,"3,811"
Bedlam,USA,"Drama, Horror, Thriller",10 May 1946,6.9,79 min,English,movie,"2,326"
ClashOfTheDinosaurs,UK,"Documentary, History",06 Dec 2009,6.3,50 min,English,series,114
TopChef,USA,"Game-Show, Reality-TV",15 Feb 2006,7.6,60 min,English,series,"4,247"
JohnnyBago,USA,"Comedy, Drama",25 Jun 1993,7.8,60 min,English,series,72
AaronStone,Canada,"Adventure, Family, Sci-Fi",01 Feb 2009,7.1,N/A,English,series,578
Mongrels,UK,Comedy,22 Jun 2010,8.3,30 min,English,series,879
TheRatPatrol,USA,"Action, Drama, Adventure",12 Sep 1966,7.6,30 min,English,series,729
TheWaltons,USA,"Drama, Family, Romance",14 Sep 1972,7.6,60 min,English,series,"3,448"
RabCNesbitt,UK,Comedy,27 Sep 1990,7.7,50 min,English,series,711
MysteryScienceTheater3000,USA,"Comedy, Sci-Fi",24 Nov 1988,8.7,97 min,English,series,"15,135"
TheKing2Hearts,South Korea,"Action, Drama, Romance",21 Mar 2012,8.1,N/A,Korean,series,311
GilligansIsland,USA,"Comedy, Family",26 Sep 1964,7.5,30 min,English,series,"7,880"
Monk,USA,"Comedy, Crime, Drama",12 Jul 2002,8.0,47 min,English,series,"47,722"
HoneyIShrunkTheKids,USA,"Adventure, Comedy, Family",23 Jun 1989,6.2,93 min,English,movie,"95,448"
GuidingLight,USA,Drama,30 Jun 1952,6.4,60 min,English,series,"1,029"
MaidMarianAndHerMerryMen,UK,"Adventure, Comedy, Family",16 Nov 1989,8.2,25 min,English,series,554
DinosaurPlanet,USA,"Documentary, Animation, Family",14 Dec 2003,7.8,50 min,English,series,305
SummersDesire,USA,Romance,N/A,4.8,85 min,English,movie,16
NotGoingOut,UK,Comedy,25 Sep 2006,7.9,30 min,English,series,"3,474"
BarneyMiller,USA,"Comedy, Drama",23 Jan 1975,8.1,30 min,English,series,"2,810"
TheOffice,USA,Comedy,24 Mar 2005,8.8,22 min,English,series,"170,856"
TheOthers,"USA, Spain, France, Italy","Horror, Thriller",10 Aug 2001,7.6,104 min,"English, French",movie,"249,506"
DrewCareysImprovAGanza,USA,Comedy,11 Apr 2011,8.5,30 min,English,series,883
NinjaTurtlesTheNextMutation,"Canada, USA","Action, Adventure, Comedy",12 Sep 1997,4.6,20 min,English,series,827
Bones,USA,"Comedy, Crime, Drama",13 Sep 2005,8.0,40 min,"English, Spanish",series,"98,608"
BeingHumanRemake,"Canada, USA","Drama, Fantasy, Horror",17 Jan 2011,7.5,44 min,English,series,"20,269"
Alice2009,USA,"Comedy, Fantasy, Romance",10 Jan 1991,6.6,102 min,"English, Cantonese",movie,"9,823"
GetSmart,USA,"Action, Adventure, Comedy",20 Jun 2008,6.5,110 min,"English, Russian, Panjabi, Arabic",movie,"159,052"
BodyOfProof,USA,"Crime, Drama",25 Jan 2011,7.0,60 min,English,series,"10,908"
Awkward,Canada,"Short, Comedy",20 Sep 2008,6.0,7 min,English,movie,21
YouRangMLord,UK,Comedy,29 Dec 1988,8.9,50 min,English,series,"1,649"
TimAndEricAwesomeShowGreatJob,USA,"Comedy, Music",11 Feb 2007,7.2,11 min,English,series,"7,842"
IveGotASecret,USA,"Family, Game-Show",19 Jun 1952,8.1,30 min,English,series,241
AceOfCakes,USA,Reality-TV,17 Aug 2006,7.2,21 min,English,series,"1,042"
Amazing,USA,"Action, Adventure, Fantasy",03 Jul 2012,7.1,136 min,English,movie,"408,170"
TheX-Files,"USA, Canada","Drama, Mystery, Sci-Fi",10 Sep 1993,8.7,44 min,English,series,"115,282"
SkippyTheBushKangaroo,Australia,"Adventure, Family",03 Dec 1967,6.3,25 min,English,series,593
YoungIndianaJones,USA,"Action, Adventure, Family",04 Mar 1992,7.3,45 min,English,series,"5,227"
Mars,USA,"Action, Sci-Fi",10 Mar 1998,3.6,91 min,English,movie,358
AxMen,USA,"Documentary, Reality-TV",09 Mar 2008,5.5,N/A,English,series,953
SuddenlySusan,USA,Comedy,19 Sep 1996,5.7,30 min,English,series,"1,695"
DreamHouse,"USA, Canada","Drama, Mystery, Thriller",30 Sep 2011,5.9,92 min,English,movie,"42,302"
CrankYankers,USA,"Animation, Comedy",02 Jun 2002,6.2,30 min,English,series,"1,848"
HowToRock,USA,"Comedy, Musical",04 Feb 2012,5.3,24 min,English,series,"1,128"
Firefly,USA,"Adventure, Drama, Sci-Fi",20 Sep 2002,9.1,44 min,"English, Mandarin",series,"167,312"
CrimeStory,Hong Kong,"Action, Crime, Drama",24 Jun 1993,6.9,103 min,"Cantonese, Mandarin, Hokkien",movie,"3,741"
BetterOffTed,USA,Comedy,18 Mar 2009,8.2,30 min,English,series,"20,905"
LeCoeurASesRaisons,Canada,"Comedy, Romance",03 Feb 2005,8.6,30 min,French,series,381
TheFugitive,USA,"Action, Adventure, Crime",06 Aug 1993,7.8,130 min,"English, Polish, Spanish",movie,"199,000"
TheSentinel,USA,"Action, Crime, Thriller",21 Apr 2006,6.1,108 min,English,movie,"40,954"
MontyPythonsFlyingCircus,UK,"Comedy, Music",05 Oct 1969,9.0,30 min,"English, Arabic, French, German, Italian, Mandarin, Spanish",series,"37,711"
FarOutSpaceNuts,USA,"Comedy, Family",06 Sep 1975,6.3,30 min,English,series,125
TheJeffFoxworthyShow,USA,"Comedy, Family",16 Sep 1995,5.2,30 min,English,series,449
TheAdventuresOfSinbad,Canada,"Fantasy, Action, Adventure",N/A,7.2,60 min,English,series,"1,034"
PeepShow,UK,Comedy,19 Sep 2003,8.7,25 min,English,series,"28,893"
ThatsSoRaven,USA,"Comedy, Family, Fantasy",17 Jan 2003,6.4,30 min,English,series,"11,884"
FTroop,USA,"Comedy, War, Western",08 Sep 1965,7.5,30 min,English,series,"1,397"
PunkyBrewster,USA,"Family, Comedy",16 Sep 1984,6.4,30 min,English,series,"2,755"
LizzieMcGuire,USA,"Comedy, Drama, Family",12 Jan 2001,6.5,30 min,English,series,"12,641"
TheIncredibleHulk,USA,"Action, Adventure, Sci-Fi",13 Jun 2008,6.9,112 min,"English, Portuguese, Spanish",movie,"301,837"
Up,USA,"Animation, Adventure, Comedy",29 May 2009,8.3,96 min,English,movie,"575,622"
AthenaGoddessOfWar,South Korea,"Action, Romance, Thriller",13 Dec 2010,6.8,N/A,"Korean, English, Italian, Japanese",series,253
TheBorgias,"Hungary, Ireland, Canada, USA","Crime, Drama, History",03 Apr 2011,8.0,50 min,English,series,"36,148"
HeyDad,USA,"Animation, Short",28 Oct 2011,N/A,1 min,English,movie,N/A
PowerRangersRPM,USA,"Action, Adventure, Comedy",07 Mar 2009,6.3,22 min,English,series,812
TheLastEnemy,UK,"Drama, Romance, Thriller",05 Oct 2008,7.1,N/A,English,series,"1,656"
CriminalMinds,"USA, Canada","Crime, Drama, Mystery",22 Sep 2005,8.2,42 min,English,series,"97,625"
Leonardo,UK,Adventure,11 Apr 2011,6.8,N/A,English,series,141
SaturdayNightLive,USA,"Comedy, Music",11 Oct 1975,8.2,90 min,English,series,"30,476"
Blackout,USA,"Horror, Mystery, Thriller",29 May 2008,5.1,120 min,English,movie,"2,928"
PitBullsAndParolees,USA,"Drama, Reality-TV",30 Oct 2009,8.2,N/A,English,series,528
CatchPhrase,UK,Game-Show,12 Jan 1986,6.6,30 min,English,series,151
Beetleborgs,"USA, Japan","Action, Adventure, Comedy",07 Sep 1996,6.7,23 min,English,series,674
HeyDude,USA,"Adventure, Comedy, Family",14 Jul 1989,7.4,30 min,English,series,"1,588"
PanAm,USA,"Drama, History",25 Sep 2011,6.9,42 min,English,series,"16,357"
TheGoldenGirls,USA,"Comedy, Drama",14 Sep 1985,7.8,30 min,"English, Italian, Norwegian",series,"19,975"
TheBradyBunch,USA,"Comedy, Family",26 Sep 1969,6.7,30 min,English,series,"7,924"
YesMinister,UK,Comedy,25 Feb 1980,8.8,60 min,English,series,"4,880"
Reba,USA,"Comedy, Drama",05 Oct 2001,6.4,30 min,English,series,"10,151"
BuffyTheVampireSlayer,USA,"Action, Drama, Fantasy",10 Mar 1997,8.2,44 min,English,series,"94,239"
BattlestarGalacticaClassic,USA,Sci-Fi,05 Oct 2007,7.6,20 min,English,series,869
MelissaAndJoey,USA,Comedy,N/A,7.1,30 min,English,series,"12,978"
Witchblade,USA,"Action, Fantasy, Mystery",27 Aug 2000,4.9,94 min,English,movie,"1,857"
FreshMeat,UK,"Comedy, Drama",21 Sep 2011,8.0,50 min,English,series,"6,736"
BarefootContessa,USA,Documentary,30 Nov 2002,6.7,30 min,English,series,380
Rainbow,"UK, Canada","Comedy, Family, Fantasy",26 Jul 1996,4.2,98 min,English,movie,263
MarriedWithChildren,USA,Comedy,05 Apr 1987,8.1,22 min,English,series,"72,062"
SueThomasFBEye,"Canada, USA","Crime, Drama, Mystery",13 Oct 2002,7.1,60 min,"English, American Sign Language",series,"1,196"
BetweenTheLions,USA,"Comedy, Family, Fantasy",03 May 2002,7.0,30 min,English,series,361
HappyEndings,USA,Comedy,13 Apr 2011,7.7,30 min,English,series,"28,188"
AmericanGuns,USA,Reality-TV,10 Oct 2011,6.7,42 min,English,series,407
Millennium,USA,"Crime, Drama, Mystery",25 Oct 1996,8.1,45 min,English,series,"7,156"
CornerGas,Canada,Comedy,19 Jun 2004,8.2,30 min,English,series,"3,812"
WonderWoman,USA,"Animation, Action, Adventure",03 Mar 2009,7.4,74 min,English,movie,"9,164"
ForeverKnight,"Canada, West Germany","Crime, Drama, Horror",05 May 1992,7.8,60 min,"English, French",series,"1,595"
NoelsChristmasPresents,UK,Family,25 Dec 1991,N/A,N/A,English,movie,N/A
AnimalFaceOff,N/A,N/A,01 Mar 2004,5.4,N/A,N/A,series,14
TheSecretAdventuresOfJulesVerne,"UK, Canada","Horror, Sci-Fi, Adventure",05 Jan 2001,7.1,N/A,English,series,206
DogTheBountyHunter,USA,"Adventure, Crime, Reality-TV",31 Aug 2004,5.2,30 min,English,series,"3,593"
JustShootMe,Brazil,"Documentary, Action, Drama",08 Jul 2011,N/A,67 min,Portuguese,movie,N/A
Amen,India,"Drama, Musical, Romance",22 Mar 2013,7.6,165 min,Malayalam,movie,"1,305"
BestLove,USA,"Short, Romance",02 Apr 2009,N/A,N/A,English,movie,N/A
TheXFactor,USA,"Music, Reality-TV",01 Sep 2011,5.2,N/A,English,series,"5,023"
Kaamelott,France,"Comedy, Adventure, Fantasy",03 Jan 2005,8.7,N/A,French,series,"1,717"
NameThatTune,USA,"Game-Show, Music",N/A,7.1,N/A,English,series,28
DarkShadows,"USA, Australia","Comedy, Horror",11 May 2012,6.2,113 min,English,movie,"182,907"
HerculesTheLegendaryJourneys,"USA, New Zealand","Action, Adventure, Drama",16 Jan 1995,6.5,60 min,English,series,"19,508"
TheWayansBros,USA,Comedy,11 Jan 1995,7.3,30 min,English,series,"2,939"
Luck,USA,"Drama, Sport",01 Feb 2012,7.6,52 min,English,series,"4,402"
ItAintHalfHotMum,UK,"Comedy, War",03 Jan 1974,7.2,30 min,English,series,594
GettingOn,USA,Comedy,24 Nov 2013,7.6,30 min,English,series,"1,747"
LostGirl,Canada,"Drama, Fantasy",12 Sep 2010,7.8,60 min,English,series,"20,608"
Charmed,USA,"Drama, Fantasy, Mystery",07 Oct 1998,7.0,42 min,English,series,"51,309"
AForAndromeda,UK,"Drama, Sci-Fi, Thriller",27 Mar 2006,5.3,90 min,English,movie,421
AlienNation,USA,"Action, Crime, Sci-Fi",07 Oct 1988,6.3,91 min,English,movie,"10,537"
Veep,USA,Comedy,22 Apr 2012,8.0,28 min,English,series,"19,463"
Coupling,UK,Comedy,01 Sep 2001,8.7,30 min,English,series,"31,004"
LaskoDieFaustGottes,"Germany, Austria","Action, Adventure",18 Jun 2009,4.1,60 min,German,series,179
DickAndDomsFunnyBusiness,UK,Comedy,08 Jan 2011,4.1,N/A,English,series,14
Misfits,UK,"Comedy, Drama, Fantasy",19 Jul 2012,8.3,60 min,English,series,"67,613"
HellsKitchen,N/A,"Documentary, Biography, News",16 Aug 2005,N/A,30 min,N/A,episode,N/A
TheHoganFamily,USA,"Comedy, Family",01 Mar 1986,6.5,30 min,English,series,794
BarneyAndFriends,USA,"Adventure, Comedy, Family",06 Apr 1992,3.5,30 min,English,series,"2,914"
LifeOnMars2006,UK,"Crime, Drama, Mystery",24 Jul 2006,8.4,60 min,English,series,"21,602"
Chespirito,Mexico,"Comedy, Romance",N/A,8.1,N/A,Spanish,series,272
BetterWithYou,USA,Comedy,22 Sep 2010,6.9,30 min,English,series,"2,862"
Tosh0,UK,"Animation, Short, Comedy",N/A,N/A,3 min,English,movie,N/A
LifeOnMars2008,UK,"Crime, Drama, Mystery",24 Jul 2006,8.4,60 min,English,series,"21,602"
TheInvaders,USA,"Drama, Sci-Fi, Thriller",10 Jan 1967,8.2,51 min,English,series,"1,394"
TheFallGuy,USA,"Action, Adventure",04 Nov 1981,7.1,60 min,English,series,"3,355"
Dollhouse,USA,"Drama, Mystery, Sci-Fi",13 Feb 2009,7.8,44 min,English,series,"37,753"
TheTwilightZone,USA,"Fantasy, Horror, Mystery",02 Oct 1959,9.0,51 min,English,series,"38,151"
TheWarAtHome,USA,Comedy,11 Sep 2005,7.5,30 min,English,series,"7,381"
InsomniacWithDaveAttell,USA,Comedy,05 Aug 2001,8.1,30 min,English,series,669
That70sShow,USA,Comedy,23 Aug 1998,8.1,22 min,English,series,"105,382"
Sliders,USA,"Sci-Fi, Adventure, Fantasy",22 Mar 1995,7.4,60 min,English,series,"12,018"
Camelot,"Ireland, USA, UK, Canada","Drama, Fantasy",25 Feb 2011,6.6,45 min,English,series,"18,913"
House,USA,"Comedy, Fantasy, Horror",28 Feb 1986,6.2,93 min,English,movie,"15,956"
Conquest,"Italy, Spain, Mexico","Action, Adventure, Fantasy",06 Apr 1984,5.2,88 min,"Italian, Spanish",movie,"1,115"
MervGriffinsCrosswords,USA,Game-Show,13 Nov 2007,7.2,N/A,English,series,64
SwitchedAtBirth,USA,"Drama, Family",06 Jun 2011,7.8,60 min,"English, American Sign Language, Spanish",series,"16,936"
DinosaursDecoded,USA,Documentary,11 Oct 2009,6.5,N/A,English,movie,24
TheBeverlyHillbillies,USA,"Comedy, Family",15 Oct 1993,4.8,92 min,English,movie,"13,697"
LaPetiteVie,Canada,N/A,16 Oct 1993,8.6,23 min,French,series,524
Jessie,USA,"Comedy, Family",30 Sep 2011,6.0,30 min,English,series,"6,927"
SteptoeAndSon,UK,Comedy,05 Jun 1962,8.0,45 min,English,series,"1,449"
StarskyAndHutch,USA,"Action, Crime, Drama",10 Sep 1975,7.1,60 min,English,series,"3,967"
Insecurity,Canada,Comedy,04 Jan 2011,6.1,30 min,English,series,438
TheRomanMysteries,UK,"Drama, Family, Fantasy",08 May 2007,7.6,60 min,English,series,110
TheGoodLife,"Canada, USA","Comedy, Drama",20 Jan 2007,6.5,90 min,English,movie,"1,642"
MurphyBrown,USA,Comedy,14 Nov 1988,7.0,30 min,English,series,"4,291"
TheVampyrASoapOpera,UK,"Drama, Fantasy, Horror",N/A,7.7,N/A,English,movie,23
Viper,"Canada, USA","Crime, Sci-Fi",23 Sep 1996,5.8,60 min,English,series,573
Homeland,USA,"Drama, Mystery, Thriller",02 Oct 2011,8.5,55 min,English,series,"194,168"
Lassie,USA,"Family, Adventure",22 Jul 1994,5.8,94 min,English,movie,"3,501"
Justified,USA,"Action, Crime, Drama",16 Mar 2010,8.7,44 min,English,series,"56,967"
DontTellMyMother,"USA, France",Documentary,N/A,7.7,N/A,"French, English",movie,23
BreakoutKings,USA,"Crime, Drama, Thriller",06 Mar 2011,7.3,43 min,English,series,"12,069"
SonDeFierro,Argentina,N/A,08 Jan 2007,4.4,N/A,Spanish,series,56
FreddysNightmares,USA,"Horror, Thriller",09 Oct 1988,6.5,60 min,English,series,"1,808"
MyNameIsEarl,USA,Comedy,20 Sep 2005,7.8,30 min,"English, Spanish",series,"78,362"
TheBobNewhartShow,USA,Comedy,16 Sep 1972,8.2,30 min,English,series,"2,616"
FatedToLoveYou,South Korea,"Comedy, Romance",02 Jul 2014,7.9,N/A,Korean,series,307
TheChampions,UK,"Adventure, Sci-Fi, Thriller",10 Jun 1968,7.7,60 min,English,series,428
AlarmFurCobra11,Germany,"Action, Crime, Drama",12 Mar 1996,6.3,90 min,German,series,"3,355"
MySpyFamily,UK,Comedy,01 Sep 2007,6.8,N/A,English,series,80
TheAdventuresOfSherlockHolmesAndDoctorWatson,Soviet Union,"Crime, Mystery",N/A,8.6,63 min,Russian,movie,"1,102"
HowItsMade,Canada,Documentary,N/A,7.9,24 min,"English, French",series,"3,464"
TheNanny,USA,Comedy,03 Nov 1993,6.8,30 min,"English, Yiddish",series,"26,185"
FilthyRichAndCatflap,UK,Comedy,07 Jan 1987,7.3,204 min,English,series,800
FirstWave,Canada,"Adventure, Drama, Sci-Fi",19 Mar 1999,7.2,43 min,English,series,"2,514"
YoungDracula,UK,"Comedy, Family",21 Sep 2006,8.1,25 min,English,series,875
SpecialUnit2,Germany,Action,07 Mar 2007,5.7,N/A,German,series,111
AllTheSmallThings,UK,Drama,31 Mar 2009,7.5,60 min,English,series,287
LastOfTheSummerWine,UK,Comedy,04 Jan 1973,7.0,30 min,English,series,"1,571"
NYC22,USA,"Crime, Drama",15 Apr 2012,6.7,60 min,English,series,"1,309"
Lost,USA,"Adventure, Drama, Fantasy",22 Sep 2004,8.5,44 min,"English, Portuguese, Spanish, Arabic, French, Korean, German, Latin, Russian, Japanese",series,"337,053"
EureekasCastle,USA,"Musical, Family, Comedy",05 Sep 1989,7.8,22 min,English,series,716
PeeWeesPlayhouse,USA,"Family, Comedy, Musical",13 Sep 1986,8.0,30 min,English,series,"2,548"
RookieBlue,Canada,"Crime, Drama",24 Jun 2010,7.7,42 min,English,series,"13,019"
MrBelvedere,USA,"Comedy, Family",15 Mar 1985,6.6,30 min,English,series,"2,154"
Drive,USA,"Crime, Drama",16 Sep 2011,7.8,100 min,"English, Spanish",movie,"397,368"
HangTime,USA,Comedy,09 Sep 1995,7.1,30 min,English,series,475
BosomBuddies,USA,Comedy,27 Nov 1980,6.7,30 min,English,series,"1,852"
TheTimeTunnel,USA,"Action, Sci-Fi",09 Sep 1966,7.7,60 min,English,series,"1,454"
TheTrip,UK,"Comedy, Drama",24 Apr 2011,7.0,107 min,English,movie,"15,897"
TheOneMillionChanceOfALifetime,Australia,Game-Show,N/A,N/A,60 min,English,series,N/A
FaceTheMusic,"USA, France","Comedy, Drama",N/A,4.7,93 min,English,movie,241
Manchild,UK,Comedy,18 Apr 2002,7.7,30 min,English,series,212
Coach,USA,"Comedy, Sport",28 Feb 1989,7.0,30 min,English,series,"3,005"
MadAboutYou,USA,"Comedy, Romance",23 Sep 1992,6.6,22 min,English,series,"14,072"
KYTV,UK,Comedy,12 May 1989,8.1,30 min,English,series,66
PatitoFeo,Argentina,"Comedy, Drama, Family",10 Apr 2007,3.5,60 min,Spanish,series,386
AmericanRestoration,USA,Reality-TV,25 Oct 2010,6.8,N/A,English,series,"1,934"
JeevesAndWooster,UK,Comedy,22 Apr 1990,8.6,55 min,English,series,"7,222"
RelicHunter,"France, Germany, Canada, USA","Fantasy, Mystery, Adventure",20 Sep 1999,6.5,60 min,English,series,"3,920"
FlashForward,"Canada, USA","Family, Comedy",N/A,8.2,30 min,English,series,"1,150"
MenBehavingBadly,USA,Comedy,18 Sep 1996,6.6,30 min,English,series,607
StateOfPlay,"USA, UK, France","Crime, Drama, Mystery",17 Apr 2009,7.1,127 min,"English, Cantonese",movie,"108,134"
AustinAndAlly,USA,"Comedy, Music",02 Dec 2011,6.0,30 min,English,series,"5,379"
Scandal,USA,"Drama, Thriller",05 Apr 2012,8.0,43 min,English,series,"42,594"
Scrabble,USA,Game-Show,02 Jul 1984,7.3,22 min,English,series,74
